restaurant_key,business_name,aka_name,license_number,street_address,city,state,zip
0,GEORGIO'S GOURMET PIZZA,GEORGIO'S GOURMET PIZZA,2791429.0,11 W DIVISION ST,CHICAGO,IL,60610
1,BYRONS KITCHENS,BYRONS KITCHENS,3596.0,1017 W IRVING PARK RD,CHICAGO,IL,60613
2,"ROSAS TAMALES, INC.",ROSA TAMALES #4,2579251.0,4617-4619 S KEDZIE AVE,CHICAGO,IL,60632
3,SUN WING SUPERMARKET,SUN WING SUPERMARKET,2835868.0,2701 S WELLS ST,CHICAGO,IL,60616
4,TACO MAYA,TACO MAYA,2863048.0,3053 N ASHLAND AVE,CHICAGO,IL,60657
5,NICKY'S RESTAURANT,NICKY'S RESTAURANT,49913.0,7829 S WESTERN AVE,CHICAGO,IL,60620
6,RIZZO'S BAR & INN,THE ROAR ON RUSH,2846186.0,437 N RUSH ST,CHICAGO,IL,60611
7,T'OUI MACARON AND PATISSERIE,T'OUI MACARON AND PATISSERIE,2589672.0,5018 N BROADWAY,CHICAGO,IL,60640
8,SUBWAY,SUBWAY,2262950.0,2008 N HALSTED ST,CHICAGO,IL,60614
9,BOX LUNCH CAFE,LUNCH BOX,2659213.0,906 S HOMAN AVE,CHICAGO,IL,60624
10,FIYA RESTAURANT,FIYA,2134056.0,5419 N CLARK ST,CHICAGO,IL,60640
11,ST. ANNA BAKERY,ST. ANNA BAKERY,2840807.0,2158 S ARCHER AVE,CHICAGO,IL,60616
12,CARNICERIA LA VILLA NO. 2,CARNICERIA LA VILLA #2,2575130.0,5800 W GRAND AVE,CHICAGO,IL,60639
13,HANAS FINER FOOD AND LIQUOR,HANAS FINER FOOD AND LIQUOR,12217.0,1311 E 87TH ST,CHICAGO,IL,60619
14,GLENCREST NURSING & REHAB CTR,GLENCREST NURSING & REHAB CTR,2204186.0,2451 W TOUHY AVE,CHICAGO,IL,60645
15,HIDDEN TREASURE CAFE,HIDDEN TREASURE CAFE,2846208.0,1929 W 87TH ST,CHICAGO,IL,60620
16,PALMA TORCIDA RESTAURANT INC,PALMA TORCIDA RESTAURANT INC,2846015.0,1127 W BRYN MAWR AVE,CHICAGO,IL,60660
17,HEARTY CAFE PANCAKE HOUSE,HEARTY CAFE PANCAKE HOUSE,2026899.0,9623 S WESTERN AVE,CHICAGO,IL,60643
18,BROTHER & SISTERS ALL DAY,ALL TOGETHER NOW,2589262.0,2119 W CHICAGO AVE,CHICAGO,IL,60622
19,VERA LOUNGE LLC,VERA LOUNGE,2808276.0,3235 N CENTRAL AVE,CHICAGO,IL,60634
20,RAGGA'S KITCHEN,RAGGA'S KITCHEN,2689253.0,633 N CICERO AVE,CHICAGO,IL,60644
21,MARCELLO'S MARKET & DELI,MARCELLO'S MARKET & DELI,2398980.0,100 W RANDOLPH ST,CHICAGO,IL,60601
22,MAKOLA AFRICAN SUPERMARKET,MAKOLA AFRICAN SUPERMARKET,2374096.0,1017-1019 W WILSON AVE,CHICAGO,IL,60640
23,BP AM PM GAS STATION,BP AM PM GAS STATION,1847294.0,6701 S JEFFERY BLVD,CHICAGO,IL,60649
24,TOM AND JERRY'S,TOM AND JERRY'S,2664659.0,6359 W MONTROSE AVE,CHICAGO,IL,60634
